url	first_seen	posted_at	portal	title	company	status	score
https://www.linkedin.com/jobs/view/data-analyst-remote-at-joveo-ai-4407107520	2026-04-26		linkedin	Data Analyst (Remote)	Joveo AI	Evaluated	4.0
https://www.linkedin.com/jobs/view/data-engineer-at-fetchjobs-co-4405937134	2026-04-26		linkedin	Data Engineer	FetchJobs.co	Evaluated	4.0
https://www.linkedin.com/jobs/view/associate-data-and-ai-engineer-at-mitre-4398550775	2026-04-26		linkedin	Associate Data and AI Engineer	MITRE	Evaluated	4.0
https://www.linkedin.com/jobs/view/data-engineer-google-cloud-platform-at-odyssey-information-services-4403994439	2026-04-26		linkedin	Data Engineer (google cloud platform)	Odyssey Information Services	added	3.8
https://www.linkedin.com/jobs/view/data-engineer-mid-frequency-equities-pod-at-paragon-alpha-hedge-fund-talent-business-4401070867	2026-04-26		linkedin	Data Engineer - Mid-Frequency Equities Pod	Paragon Alpha - Hedge Fund Talent Business	added	2.5
https://www.linkedin.com/jobs/view/data-analyst-at-adf-medical-4407151574	2026-04-26		linkedin	Data Analyst	ADF Medical	added	3.8
https://www.linkedin.com/jobs/view/data-engineer-ii-at-ahold-delhaize-usa-4385857073	2026-04-26		linkedin	Data Engineer II	Ahold Delhaize USA	added	3.5
https://www.linkedin.com/jobs/view/data-engineer-gtm-product-at-cognition-4348032626	2026-04-26		linkedin	Data Engineer - GTM & Product	Cognition	added	3.0
https://www.linkedin.com/jobs/view/sr-data-engineer-at-lennar-4375444652	2026-04-26		linkedin	Sr Data Engineer	Lennar	added	1.5
https://www.linkedin.com/jobs/view/fresher-data-analyst-at-joveo-ai-4407127929	2026-04-26		linkedin	Fresher Data Analyst	Joveo AI	added	3.8
https://www.linkedin.com/jobs/view/data-analytics-engineer-at-remotehunter-4405918345	2026-04-26		linkedin	Data & Analytics Engineer	RemoteHunter	added	3.8
https://www.linkedin.com/jobs/view/data-analyst-new-grad-at-jobright-ai-4405924512	2026-04-26		linkedin	Data Analyst, New Grad	Jobright.ai	added	3.8
https://www.linkedin.com/jobs/view/data-engineer-consumer-small-business-at-bankunited-4283090720	2026-04-26		linkedin	Data Engineer- Consumer/Small Business	BankUnited	added	3.8
https://www.linkedin.com/jobs/view/data-analyst-remote-at-jobs-ai-4407126654	2026-04-26		linkedin	Data Analyst (Remote)	Jobs Ai	added	3.5
